ref_registre;marque_candidat;produit_candidat;format;prix_public_eur;source_prix_public;variante;fiche_boutique_id;note
PEAU-004;Bioderma;Sensibio Huile Micellaire;150 ml;11.99;parapharmacie FR (11,99–17,48 €);non — correspondance directe;src-bio-001;Correspond à l'étape « Huile nettoyante démaquillante » (hautement tolérante, démaquillant yeux inclus).
PEAU-014;COSRX;BHA Blackhead Power Liquid;format standard;18.99;revendeur K-beauty FR (18,99 €);non;src-cosrx-001;BHA 2 % pores et imperfections — correspondance directe.
PEAU-014;Isntree;Chestnut BHA 2 % Clear Liquid;100 ml;21.95;revendeur K-beauty FR (21,95 €);non;src-isntree-001;BHA 2 % — 2ᵉ candidat (marque officielle à confirmer).
PEAU-020;The Ordinary;Niacinamide 10 % + Zinc 1 %;30 ml;13.5;theordinary.com FR (13,50 €);variante — 10 % contre 5 % visé;src-to-002;"Sérum niacinamide ; concentration au-dessus de la cible 5 % (à doser)."
PEAU-021;The Ordinary;Azelaic Acid Suspension 10 %;30 ml;13.5;theordinary.com FR (13,50 €);non;src-to-001;Acide azélaïque 10 % — correspondance directe.
PEAU-021;The INKEY List;Super Solutions Sérum Azélaïque 10 %;30 ml;18.4;LookFantastic FR (18,40 €);non;src-inkey-001;Acide azélaïque 10 % — 2ᵉ candidat.
PEAU-022;La Roche-Posay;Pure Vitamin C12 Sérum;30 ml;42.1;pharmacie FR (40,65–42,10 €);variante — vitamine C 12 %;src-lrp-005;"Sérum vitamine C stabilisée ; prix premium à négocier en revende."
PEAU-023;La Roche-Posay;Retinol B3 Sérum;30 ml;41.3;pharmacie FR (31,99–41,30 €);variante — usage progressif;src-lrp-004;Rétinol doux progressif — correspond à l'usage progressif visé.
PEAU-024;La Roche-Posay;Hyalu B5 Sérum;30 ml;31.99;pharmacie FR (31,99–41,61 €);variante — multi-poids à confirmer;src-lrp-002;Sérum acide hyaluronique + B5.
PEAU-029;The Ordinary;Niacinamide 10 % + Zinc 1 %;30 ml;13.5;theordinary.com FR (13,50 €);variante — 10 %;src-to-002;Marques post-imperfections (niacinamide + zinc).
PEAU-030;La Roche-Posay;Hyalu B5 Sérum Yeux;15 ml;23.03;pharmacie FR (23,03–28,59 €);variante — sans caféine;src-lrp-003;"Sérum contour des yeux hydratant (B5) ; cible caféine = variante acceptable."
