sequence,supplier,channel,priority,contact_channel,contact_url_or_reference,scope_to_request,first_wave_categories,required_response,status,owner_next_action
1,Qudo Beauty,wholesale_to_3pl,P1,"website / WhatsApp listed on official site",https://qudobeauty.com/,"10 SKU dossiers; EU RP; INCI; CPNP/CPSR/PIF; lot/PAO; prices; MOQ; France freight; samples",hydration; barrier; SPF; niacinamide; HA,"SKU-level documents; stock; expiry; price breaks; sample availability; return terms",ready_to_contact,"Send wholesale request and ask for a single consolidated dossier pack"
2,Korean Skincare Supply,wholesale_to_3pl,P1,"website / email / WhatsApp listed on official site",https://koreanskincaresupply.com/,"5 SKU dossiers; MOQ 300 EUR signal to confirm; CPNP/RP evidence; France delivery; expiry; returns",hydration; barrier; SPF; niacinamide; HA; AHA/BHA,"SKU-level compliance; stock; expiry; landed cost; samples; wholesale terms",ready_to_contact,"Send wholesale request and verify all claimed CPNP evidence"
3,BigBuy,dropship,P1,"official contact and sales form",https://www.bigbuy.eu/en/contact,"Beauty catalogue; stock feed; order API; direct shipping France; returns; neutral packaging; SKU documents",cleanser; moisturizer; SPF; niacinamide; BHA; body,"SKU price; shipping; fees; SLA; stock synchronization; INCI/RP/CPNP/CPSR/PIF; sample",ready_to_contact,"Ask for beauty-category account manager and five representative SKU files"
4,BTSWholesaler,dropship,P1,"official company/contact channel",https://www.btswholesaler.com/en/our-company9,"Dropship contract; own-stock proof; EU/France SLA; brand/logo packaging; returns; SKU documents",skincare; SPF; barrier; lips; body,"SKU price; shipping; neutral packaging; stock; EAN/authenticity; compliance pack",ready_to_contact,"Request dropship onboarding and five SKU dossiers"
5,In'oya,brand_direct,P1,"official contact form / customer service",https://inoya-laboratoire.com/fr/,"Professional/distributor route; B2B or direct fulfilment; price/MOQ; samples; RP/CPNP/CPSR/PIF; claims",HPI; imperfections; SPF; sensitive,"B2B contact; permitted claims; image rights; France fulfilment; returns",ready_to_contact,"Ask for professional or distribution contact, not consumer support only"
6,Ametis Cosmetics,brand_direct,P1,"official contact page / email",https://en.ametiscosmetics.com/contact/,"Professional/distributor route; price/MOQ; samples; EU dossier; claims; image rights",HPI; barrier; sensitive; body,"B2B contact; France delivery; returns; compliance pack; wholesale or dropship possibility",ready_to_contact,"Send brand-direct request to the official contact"
7,FLEX Logistique,3pl,P1,"official contact form / email",https://flexlogistique.fr/health-beauty-3pl-france-europe/,"Cosmetics onboarding; lot/FEFO/FIFO; PAO/DDM; kitting; returns; API/WMS; test quote",approved heroes; kits; returns,"Test scenario for 3-5 heroes; minimums; reception/storage/pick-pack/transport/returns pricing",ready_to_contact,"Request a cosmetics 3PL quote without committing stock"
8,YesStyle,affiliate,P1,"official affiliate application",https://www.yesstyle.com/en/affiliate-program.html,"Affiliate approval; FR availability; feed; creative rights; attribution; prohibited claims",hydration; barrier; SPF; niacinamide; HA; AHA/BHA,"Application accepted; feed access; commission; deeplinks; France delivery/returns messaging",ready_to_apply,"Apply and tag links as external affiliate recommendations"
9,MiiN Cosmetics FR,affiliate,P1,"Awin merchant application",https://ui.awin.com/merchant-profile/29885,"Affiliate approval; FR product feed; claims/image rules; attribution",hydration; barrier; SPF; niacinamide; HA,"Application accepted; commission; feed; permitted creatives; out-of-stock handling",ready_to_apply,"Apply through Awin and build 12-need content map"
10,LOOKFANTASTIC Europe,affiliate,P2,"Awin merchant application",https://ui.awin.com/merchant-profile/10591,"Affiliate approval; FR coverage; feed; creative and paid traffic rules",all skincare families,"Application accepted; commission; feed; attribution; prohibited claims",ready_to_apply,"Apply after P1 supply requests are sent"
11,iHerb EUR,affiliate,P2,"Awin merchant application",https://ui.awin.com/merchant-profile/76734,"Affiliate approval; EU/FR availability; cosmetic feed; creative rights",hydration; barrier; body; lips,"Application accepted; commission; delivery/returns messaging; claim restrictions",ready_to_apply,"Apply and restrict content to cosmetics deliverable in France"
12,byrd,3pl,P2,"official sales contact",https://www.getbyrd.com/uk/health-beauty,"Cosmetics 3PL quote; France site; lots; kits; returns; integrations",approved heroes; kits,"Minimums; storage; pick-pack; kitting; API; France SLA",defer_until_demand,"Contact after FLEX comparison or when a hero reaches validation"
13,WAPI,3pl,P2,"official sales contact",https://wapi.com/cosmetics-fulfillment/,"Cosmetics 3PL quote; lot tracking; ambient storage; integrations; returns",approved heroes; kits,"Minimums; French coverage; lot/FEFO; API; price sheet",defer_until_demand,"Benchmark against FLEX only after initial hero demand"
