palier_prix,nom,pays,type,gammes,prix_constate,moq,conditions,conformite_ue,contact,verification,source
A - entree 1-5 EUR,IDC Institute (via ses grossistes),ES,"Marque d'Aquarius Cosmetic SLU (Les Masies de Voltrega, Barcelone, 1995) + reseau de grossistes","Skincare, corps, maquillage, masques tissu, bombes de bain, gel douche, OUTILS (peignes, miroirs, ciseaux ongles, blenders, gua sha), soins homme","masque tissu 0,98 EUR ; masque pieds/mains 1,33 EUR ; lotion corps 250ml 1,85 EUR ; set beaute 3,22 EUR",a demander,-,"Societe ETABLIE EN UE (Espagne) -> porte la responsabilite (art. 4.3/4.4), KURLA distributeur. Fabrication propre NON verifiee (sous-traitance probable)",-,VERIFIE : aquariuscosmetic.com + idc-institute.com + 4 grossistes. Contact +34 938 861 366 / info@aqc.es. Fabrication propre NON verifiee,grossiste-parfum-generique.com
A - entree 1-5 EUR,Grossiste Beaute IDC,ES,Grossiste B2B,"1500 references : vernis, masques, patchs, parfumerie, accessoires, peignes, huiles, savons, shampoings, deodorants","base & primer 1,19 EUR/unite (pack de 24)",a demander,-10% revendeurs et professionnels,Produits UE -> distributeur,grossiste-beaute-idc.com,VERIFIE site,grossiste-beaute-idc.com
A - entree 1-5 EUR,"Grossiste-en-live (Prady, Ambar, The Fruit Company)",ES,Distributeur direct fabricant,"Maquillage, parfum generique et equivalence, soins, parfumerie d'ambiance","deodorant roll-on coco 1,57 EUR/unite (carton de 12, 18,84 EUR)",a demander,LIVRAISON GRATUITE des 100 EUR pour France et Europe,"Marques espagnoles, fabrique en Espagne -> distributeur",grossiste-en-live.com,VERIFIE site,grossiste-en-live.com
A - entree 1-5 EUR,Kcosmetiques,FR,Grossiste B2B,"44 ref. IDC Institute, maquillage, soins",tarifs apres connexion,a demander,Boutiques a Paris et Lyon,Stock FR -> distributeur,grossiste-maquillage-yes-love.com,VERIFIE site,grossiste-maquillage-yes-love.com
A - entree 1-5 EUR,Grossiste-de-France,EU,Grossiste B2B,IDC Institute + Sence,"creme corps 400ml 4,40 EUR/unite (lot de 6, 26,40 EUR HT) ; coffret brumes 7,50 EUR HT",a demander,"Livraison dans toute l'Europe, prix affiches HT",Stock UE -> distributeur,grossiste-de-france.fr,VERIFIE site,grossiste-de-france.fr
B - largeur sans stock,Ankorstore,FR (Paris),Marketplace B2B,20000+ marques europeennes dont 1200 MARQUES DE BEAUTE FRANCAISES,variable selon marque,"100 EUR par marque, franco 300 EUR","PAIEMENT A 60 JOURS, commande groupee multi-marques, 0% commission reassort depuis 01/2026","Marques europeennes -> deja sur marche UE, KURLA distributeur",ankorstore.com,VERIFIE : premiumbeautynews + alliancy + lemoniteurdespharmacies + garnetmarketplace,4 sources presse
B - largeur sans stock,Qudo Beauty (Qudo Korean Beauty Care SRL),RO,Grossiste K-beauty,"1800+ produits, 86+ marques. Visage, cheveux, maquillage, parfums, outils",variable,"MOQ 300 EUR AU TOTAL, aucun MOQ par reference","Port offert des 500 EUR, entrepot Roumanie, factures EUR","DECLARE : CPNP + INCI + EU Responsible Person par produit, enregistrement CPNP a l'import. A FAIRE CONFIRMER PAR ECRIT",VAT RO50381912 / +40 752 200 449 / qudobeauty.com,Site fournisseur. Declaration CPNP NON VERIFIEE,qudobeauty.com
B - largeur sans stock,Nova Engel / Grupo Engel,ES,Dropship,"800+ marques, 30000+ references, parfumerie + cosmetique + capillaire",variable,Depot 500 EUR non remboursable (portefeuille),"API REST + CSV + XML, expedition anonyme, 24/48h",Stock UE -> distributeur,novaengel.com,VERIFIE sur site (FAQ),novaengel.com
B - largeur sans stock,Cosmetix Club,-,Dropship,"Maquillage : palettes, rouges a levres, pinceaux, accessoires",variable,SANS MOQ,Dropshipping direct,A verifier,-,VERIFIE liste tierce - non contacte,minea.com
C - gamme peau / K-beauty,EOLYS Beaute,FR,Grossiste K-beauty B2B,"Whamisa, Torriden, Beauty of Joseon, SKIN1004, COSRX",variable,a demander,"Plateforme B2B, instituts/pharmacies/concept stores",ATTENTION : produits coreens = hors UE. Conforme SEULEMENT si importateur UE a fait CPNP + RP,eolys-beaute.com,VERIFIE site,eolys-beaute.com
