supplier,country_or_region,role,channel,fit_for_c1,priority,product_families_to_request,fr_delivery_or_coverage,moq_or_stock_signal,documents_and_checks_required,technical_or_logistics_checks,commercial_status,source_url,owner_next_action
BigBuy,EU,dropship wholesaler,dropship,Direct-to-customer testing for documented SKUs,P1,"gentle cleanser; barrier moisturizer; SPF; niacinamide; acne/BHA; body",EU network; France to confirm per SKU,European stock and direct shipment announced,"brand authorization; final INCI; EU Responsible Person; CPSR/PIF/CPNP; GMP; lot/PAO; claims; image rights",SKU stock feed; order API/integration; neutral packaging; France delivery SLA; returns; recall process,candidate_not_approved,https://www.bigbuy.eu/en/dropshipping.html,Request beauty catalogue and a 5-SKU documentation pack
BTSWholesaler,EU,dropship cosmetics wholesaler,dropship,Direct-to-customer testing if documents and neutral fulfilment are confirmed,P1,"K-beauty; skincare; SPF; barrier; lips; body",EU dropshipping announced; France to confirm,Own stock and EU dropshipping announced,"brand authorization; final INCI; RP UE; CPSR/PIF/CPNP; GMP; lot/PAO; claims; image rights",white-label/name-logo conditions; stock sync; order routing; returns; delivery France,candidate_not_approved,https://www.btswholesaler.com/,Request reseller terms and SKU-level compliance evidence
Spocket,US/EU marketplace,marketplace of dropship suppliers,dropship,Discovery and comparison only; validate each underlying supplier,P2,"hydration; beauty; skincare; SPF",Supplier-specific; France and customs to verify,Delivery estimate shown by product; no global guarantee,"underlying supplier identity; INCI; RP UE; CPSR/PIF/CPNP; origin; lot/PAO; claims; image rights",supplier SLA; stock synchronization; returns; VAT/customs; sample,candidate_not_approved,https://www.spocket.co/dropship/bath-beauty,Shortlist only suppliers shipping from EU and request documents
Qogita,EU,wholesale B2B marketplace,wholesale_to_3pl,Future buying and 3PL replenishment; not assumed dropship,P1,"hydration; barrier; SPF; niacinamide; retinol; AHA/BHA; eye; lips; body",European supplier network; France shipping to confirm,500+ verified suppliers and 10000+ brands claimed; MOQ/order minimum to verify,"brand authorization; invoices; final INCI; RP UE; CPSR/PIF/CPNP; GMP; lot/PAO; claims; image rights",minimum order; split shipment; replenishment; lot selection; returns; authenticity; 3PL inbound,candidate_not_approved,https://www.qogita.com/beauty-personal-care/,Request offers for 20 priority SKU families and supplier provenance
Qudo Beauty,Romania / EU,K-beauty wholesaler,wholesale_to_3pl,Priority EU source for first documented heroes,P1,"hydration; barrier; SPF; niacinamide; HA; azelaic; acne",EU warehouse and shipping announced; France to confirm,Low/no MOQ announced; verify per account and SKU,"CPNP; INCI; EU RP; CPSR/PIF; GMP; brand authorization; lot/PAO; claims; image rights",available stock; expiry/PAO; case pack; replenishment; return; EDI/API or CSV,candidate_not_approved,https://qudobeauty.com/,Ask for 10 representative SKU dossiers and pricing including France freight
Korean Skincare Supply,Netherlands / EU,K-beauty wholesaler,wholesale_to_3pl,Alternative EU source and low-MOQ test,P1,"hydration; barrier; SPF; niacinamide; HA; AHA/BHA; eye; lips",Netherlands and EU supply announced; France to confirm,Low MOQ and CPNP-compliant products claimed; verify evidence,"CPNP; INCI; EU RP; CPSR/PIF; GMP; brand authorization; lot/PAO; claims; image rights",stock feed; expiry; case packs; replenishment; returns; 3PL inbound,candidate_not_approved,https://koreanskincaresupply.com/,Request exact CPNP/RP evidence and price list for first-wave categories
French Lady,EU / France to confirm,natural cosmetics wholesaler/dropship lead,wholesale_or_dropship,Secondary source for natural barrier/body; only after SKU evidence,P2,"natural cleanser; barrier; body; lips",France/EU coverage to confirm,Wholesale and dropshipper positioning announced; MOQ to verify,"INCI; RP UE; CPSR/PIF/CPNP; GMP; organic claims evidence; lot/PAO; image rights",dropship availability; storage; returns; batch traceability,candidate_not_approved,https://frenchlady.co/pages/organic-cosmetics-wholesale,"Ask for brand list, France shipping and 3PL-compatible offer"
LOOKFANTASTIC Europe,EU,affiliate retailer,affiliate,Test content and intent without KURLA stock,P1,"all skincare families including SPF and body",France coverage via affiliate program to confirm product-level,Commission and affiliate terms via Awin; no KURLA stock,"merchant product feed; claims/image usage; affiliate disclosure; price/availability freshness",deep link; tracking; attribution window; prohibited claims; returns handled by merchant,affiliate_candidate,https://ui.awin.com/merchant-profile/10591,"Apply and confirm FR terms, feed and permitted creative usage"
MiiN Cosmetics FR,France / EU,affiliate retailer,affiliate,Test K-beauty demand and routines without KURLA stock,P1,"hydration; barrier; SPF; niacinamide; HA; AHA/BHA; eye",France merchant profile via Awin,Commission terms by publisher type; no KURLA stock,"feed; product claims; creative rights; affiliate disclosure; current FR availability",tracking; feed freshness; out-of-stock handling; prohibited paid traffic rules,affiliate_candidate,https://ui.awin.com/merchant-profile/29885,Apply and build a 12-need affiliate content map
YesStyle,International / EU delivery,affiliate retailer,affiliate,Test broad K-beauty catalogue without KURLA checkout,P1,"hydration; barrier; SPF; niacinamide; HA; retinol; AHA/BHA; lips; body",EU/France delivery to confirm per product,Up to 10% affiliate commission announced; no KURLA stock,"feed; current INCI/claims; image/creative rights; affiliate disclosure; availability; shipping/returns",deep links; tracking; out-of-stock and delivery messaging; VAT/returns handled by merchant,affiliate_candidate,https://www.yesstyle.com/en/affiliate-program.html,Apply and confirm FR product availability and creative rules
