besoin,titre_besoin,rang,marque,produit,format,prix_constate_eur,statut_prix,fournisseur_canal
1,Type de peau (8 types) — le diagnostic pilote ; produits de démarrage doux,1,CeraVe,Crème lavante hydratante,236 ml,10.9,vérifié le 14/09/2026 — pharmashopi.com,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
1,Type de peau (8 types) — le diagnostic pilote ; produits de démarrage doux,2,CeraVe,Crème lavante hydratante éco-recharge,473 ml,8.72,vérifié le 14/09/2026 — pharmashopi.com,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
1,Type de peau (8 types) — le diagnostic pilote ; produits de démarrage doux,3,Torriden,Balanceful Gel nettoyant centella,200 ml,,à vérifier — fiche peau-test existante,"EOLYS Beauté (✔ vérifié, K-beauty B2B, stock FR)"
1,Type de peau (8 types) — le diagnostic pilote ; produits de démarrage doux,4,Garnier,Eau micellaire 3-en-1 peaux sensibles,400 ml,4.99,vérifié le 15/09/2026 — foliecosmetic.com (Tout en 1 peaux sèches et sensibles),Grande distribution (rayon beauté)
1,Type de peau (8 types) — le diagnostic pilote ; produits de démarrage doux,5,CeraVe,Moussant nettoyant (peaux mixtes-grasses),236 ml,10.9,vérifié le 14/09/2026 — pharmashopi.com (flacon-pompe),Grande distribution pharmacie/parapharmacie (distributeur à désigner)
2,Sécheresse (peau) ≠ déshydratation (eau) — eau + lipides séparés,1,Isntree,Sérum hydratant acide hyaluronique (14 poids),50 ml,18.9,vérifié le 14/09/2026 — jejuskin.fr,"EOLYS Beauté (✔ vérifié, K-beauty B2B, stock FR)"
2,Sécheresse (peau) ≠ déshydratation (eau) — eau + lipides séparés,2,CeraVe,Crème hydratante (céramides),52 ml,15.35,vérifié le 14/09/2026 — kalista-parfums.com,Grande distribution pharmacie/parapharmacie (distributeur à désigner)
2,Sécheresse (peau) ≠ déshydratation (eau) — eau + lipides séparés,3,CeraVe,Lotion hydratante visage & corps,400 ml,10.95,vérifié le 14/09/2026 — primor.eu (−12 %),Grande distribution pharmacie/parapharmacie (distributeur à désigner)
2,Sécheresse (peau) ≠ déshydratation (eau) — eau + lipides séparés,4,Isntree,Hyaluronic Acid Aqua Gel Cream,100 ml,18.95,vérifié le 14/09/2026 — sevenyoung.com,"EOLYS Beauté (✔ vérifié, K-beauty B2B, stock FR)"
2,Sécheresse (peau) ≠ déshydratation (eau) — eau + lipides séparés,5,CeraVe,Sérum acide hyaluronique (1 %),30 ml,17.6,"vérifié le 15/09/2026 — idealo.fr (dès 17,60 €)",Grande distribution pharmacie/parapharmacie (distributeur à désigner)
