palier,nom,pays,type,gammes_couvertes,modele,conformite_ue,moq_declare,contact,verification,source
1-StockUE,BLACKETIQUE SASU,FR,Grossiste B2B multi-marques,"Soins capillaires afro (Mielle, Cantu, Shea Moisture, As I Am, Camille Rose, Aunt Jackie's, Dark & Lovely) + K-beauty","Stock France, 35 marques",Distributeur (art. 2e) : produits déjà sur le marché UE,NON VÉRIFIÉ,"3 rue Magnier Bédu B12, 95410 Groslay · 01 84 80 62 40 · info@blacketique.com",VÉRIFIÉ — SIRET 979 710 829 00024,blacketique.com/haircare/
1-StockUE,DISTRISTAR,FR,Grossiste produits capillaires afro,"Cosmétiques capillaires, mèches, perruques. Vitrine : Red One, X-Pression, Dark and Lovely, TCB","Achat-revente, entrepôt Bobigny",Distributeur si stock déjà UE — À RECOUPER,NON VÉRIFIÉ,"17-19 rue Eugène Hénaff, 93000 Bobigny · 01 48 91 04 64 · info@distristar.com",VÉRIFIÉ comme société (2 sites). ⚠️ catalogue publié NE MONTRE PAS nos 21 marques,distristar.com · distristar93.fr
1-StockUE,Cosmetic 99,FR,Boutique/grossiste cosmétiques africains,"Karité, huiles, soins capillaires",DÉCLARATIF,À déterminer,NON VÉRIFIÉ,"153 route de Saint-Leu, 93800 Épinay-sur-Seine · 09 52 84 09 09 · cosmet99@gmail.com",DÉCLARATIF — ⚠️ adresse à Épinay alors que la communication dit Bobigny,cosmetic99.fr
1-StockUE,La Boutique du Coiffeur,FR,Enseigne matériel de coiffure,"Accessoires, matériel professionnel",Réseau de magasins,Non cosmétique,NON VÉRIFIÉ,réseau national,VÉRIFIÉ comme enseigne — pas comme grossiste,laboutiqueducoiffeur.com
2-MarquesFR,Activilong,FR,Laboratoire fabricant,"Soins capillaires, coiffants, textures bouclées à crépus","Fabriqué en France, depuis 1983","Distributeur : produit déjà sur le marché UE, CPNP par le laboratoire",NON VÉRIFIÉ,"laboratoire Yannick Cheffre, Paris · via réseaux professionnels de coiffure",VÉRIFIÉ — fabricant français depuis 1983,beautycoiffure.com/lang-en/brand/254-activilong
2-MarquesFR,Les Secrets de Loly,FR,Marque fabricante,"Shampoings, après-shampoings, masques, leave-in, coiffants. >96 % origine naturelle déclarée","Fabriqué en France, fondée 2009 Paris",Distributeur : produit déjà sur le marché UE,NON VÉRIFIÉ,"via pharmacie, coiffeurs, boutiques spécialisées","VÉRIFIÉ — fondée 2009 à Paris par Kelly Massol. Prix PUBLICS 12,89-29,99 € (Pharma GDD, 13/09/2026, non contractuels)",pharma-gdd.com/fr/les-secrets-de-loly
2-MarquesFR,Nappy Queen,FR,Marque,Soins cheveux texturés,À vérifier,À déterminer,NON VÉRIFIÉ,NON VÉRIFIÉ,NON VÉRIFIÉ — ne pas mettre en catalogue avant vérification,presse spécialisée (nappyboucles.fr)
2-MarquesFR,Kalia Nature,FR,Marque,Soins cheveux texturés,À vérifier,À déterminer,NON VÉRIFIÉ,NON VÉRIFIÉ,NON VÉRIFIÉ — ne pas mettre en catalogue avant vérification,"presse spécialisée, distributeurs (jeanmarcjoubert.com)"
2-MarquesFR,Soarn,FR,Marque,Soins cheveux texturés,À vérifier,À déterminer,NON VÉRIFIÉ,NON VÉRIFIÉ,NON VÉRIFIÉ — ne pas mettre en catalogue avant vérification,presse spécialisée
2-MarquesFR,Carolina B,FR,Marque,"Soins, dont gamme enfant",À vérifier,À déterminer,NON VÉRIFIÉ,NON VÉRIFIÉ,NON VÉRIFIÉ — ne pas mettre en catalogue avant vérification,presse spécialisée
2-MarquesFR,Crenabe,FR,Marque,Soins cheveux texturés,À vérifier,À déterminer,NON VÉRIFIÉ,NON VÉRIFIÉ,NON VÉRIFIÉ — ne pas mettre en catalogue avant vérification,presse spécialisée
2-MarquesFR,In'oya,FR,Marque,Soins cheveux et peau,À vérifier,À déterminer,NON VÉRIFIÉ,NON VÉRIFIÉ,NON VÉRIFIÉ — ne pas mettre en catalogue avant vérification,presse spécialisée
