need_code,need_label,target_reference,product_family_or_component,candidate_supplier,channel,priority,fr_delivery_status,cost_and_margin_status,stock_moq_status,integration_or_fulfilment_status,documents_required_before_c1,claims_image_and_brand_checks,verification_status,next_action
hydrater,Hydrater,target-hydration-01,nettoyant doux + hydratant/barrière,BigBuy,dropship,P1,"EU shipping announced; France SKU SLA to confirm","No validated buy price, shipping cost or margin","EU stock announced; SKU stock and expiry to confirm","Direct shipment and integrations announced; order/returns flow to test","INCI; RP UE; CPSR/PIF/CPNP; GMP; lot/PAO; claims","Texture/fini; fragrance; image rights; brand authorization","lead_to_contact","Request 5 hydration SKUs with full dossier and France landed cost"
hydrater,Hydrater,target-hydration-01,hydratant céramides/squalane,Qudo Beauty,wholesale_to_3pl,P1,"EU warehouse announced; France freight to quote","Price list and gross margin unknown","Low/no MOQ signal; stock/expiry to verify","Wholesale first; inbound to 3PL after demand","CPNP; INCI; RP UE; CPSR/PIF; GMP; lot/PAO","Texture/fini; image rights; brand authorization","lead_to_contact","Request dossier, MOQ, price breaks and sample"
hydrater,Hydrater,target-hydration-01,hydratant K-beauty,Korean Skincare Supply,wholesale_to_3pl,P2,"NL/EU supply announced; France terms to confirm","Price and freight unknown","Low MOQ signal; stock/expiry to verify","Wholesale; 3PL inbound to qualify","CPNP; INCI; RP UE; CPSR/PIF; GMP; lot/PAO","Texture/fini; claims; image rights","lead_to_contact","Ask for 5 SKU offer and expiry policy"
eclat,Éclat & teint terne,target-brightness-01,niacinamide/vitamine C,YesStyle,affiliate,P1,"France delivery/product availability to confirm","Commission and EPC to confirm; no KURLA margin","Merchant stock; no KURLA stock","External checkout only; tracking and feed to test","Product feed; current INCI/claims; creative rights","No KURLA product claim; affiliate disclosure","affiliate_candidate","Apply and map eligible product links"
eclat,Éclat & teint terne,target-brightness-01,niacinamide/vitamine C,Qudo Beauty,wholesale_to_3pl,P1,"EU warehouse announced; France freight to quote","Price, fees and margin unknown","Stock and MOQ to verify","Wholesale then 3PL if hero proves demand","CPNP; INCI; RP UE; CPSR/PIF; GMP; lot/PAO","Claims substantiation; no whitening claims; images","lead_to_contact","Request active concentration and claims file"
taches,Taches / HPI,target-hpi-01,niacinamide/azelaic/vitamin C,In'oya,wholesale_or_dropship,P1,"France/EU route to confirm","B2B price, MOQ and margin unknown","Direct brand supply to confirm","Dropship possibility or wholesale to 3PL to confirm","RP UE; CPSR/PIF/CPNP; INCI; GMP; claims substantiation; lot/PAO","HPI wording; no depigmentation/medical claim; image rights","lead_to_contact","Request professional catalogue and 3 hero dossiers"
taches,Taches / HPI,target-hpi-01,niacinamide/azelaic/vitamin C,Ametis Cosmetis,wholesale_or_dropship,P1,"France/EU route to confirm","B2B price, MOQ and margin unknown","Direct brand supply to confirm","Dropship possibility or wholesale to 3PL to confirm","RP UE; CPSR/PIF/CPNP; INCI; GMP; claims substantiation; lot/PAO","HPI wording; phototype relevance; image rights","lead_to_contact","Request B2B terms, samples and claims substantiation"
taches,Taches / HPI,target-hpi-01,actifs HPI sélectionnés,MiiN Cosmetics FR,affiliate,P1,"France merchant profile identified; product delivery to confirm","Commission/EPC to confirm; no KURLA margin","Merchant stock; no KURLA stock","External checkout; Awin tracking","Feed; INCI/claims; creative rights; affiliate disclosure","No KURLA guarantee of stock or effect","affiliate_candidate","Apply and filter to compliant HPI content"
seche,Peau sèche / très sèche,target-dry-01,crème/baume barrière,Korean Skincare Supply,wholesale_to_3pl,P1,"NL/EU supply announced; France terms to confirm","Price, freight and margin unknown","Low MOQ signal; lot/expiry to verify","Wholesale; future 3PL inbound","CPNP; INCI; RP UE; CPSR/PIF; GMP; lot/PAO","Texture rich; fragrance; claims; image rights","lead_to_contact","Request 5 rich moisturizers and expiry minimum"
seche,Peau sèche / très sèche,target-dry-01,baume/huile squalane,iHerb EUR,affiliate,P2,"France coverage via affiliate profile to confirm","Commission/EPC to confirm; no KURLA margin","Merchant stock; no KURLA stock","External checkout and tracking","Feed; INCI; claims; creative rights; affiliate disclosure","No KURLA stock or product guarantee","affiliate_candidate","Apply and identify EU/France-deliverable products"
grasse,Peau grasse / brillance,target-oily-01,gel hydratant/texture légère,BigBuy,dropship,P1,"France SKU SLA to confirm","No validated landed cost or margin","Stock by SKU and expiry to confirm","Order routing and returns to test","INCI; RP UE; CPSR/PIF/CPNP; GMP; lot/PAO","Fini mat/naturel; non-assèchement; image rights","lead_to_contact","Request 5 gel/lotion SKUs and samples"
grasse,Peau grasse / brillance,target-oily-01,soin léger K-beauty,Qogita,wholesale_to_3pl,P2,"EU supplier network; France freight per offer","Wholesale price and freight unknown","MOQ/order minimum and stock to confirm","Wholesale; 3PL inbound later","Brand authorization; INCI; RP UE; CPSR/PIF/CPNP; GMP; lot/PAO","Fini; claims; authenticity; image rights","lead_to_contact","Request offers from authorized EU suppliers"
imperfections,Imperfections / boutons,target-imperfections-01,BHA/salicylique doux,BigBuy,dropship,P1,"France delivery and returns to confirm per SKU","Landed cost, fees and margin unknown","Stock and expiry to confirm","Direct fulfilment integration to test","INCI; RP UE; CPSR/PIF/CPNP; GMP; lot/PAO; warnings","No medical claims; use frequency and incompatibilities","lead_to_contact","Request BHA SKUs and full warnings"
imperfections,Imperfections / boutons,target-imperfections-01,AHA/BHA,YesStyle,affiliate,P1,"France product delivery to confirm","Commission/EPC to confirm; no KURLA margin","Merchant stock; no KURLA stock","External checkout only","Feed; INCI; claims; creative rights; affiliate disclosure","No KURLA treatment promise; warnings in content","affiliate_candidate","Build educational links with safety guardrails"
sensible,Peau sensible / réactive,target-sensitive-01,nettoyant sans parfum,Qudo Beauty,wholesale_to_3pl,P1,"EU warehouse announced; France freight to quote","Price/margin unknown","Stock, lot and fragrance status to verify","Wholesale; future 3PL inbound","INCI; RP UE; CPSR/PIF/CPNP; GMP; lot/PAO","Sans parfum evidence; tolerance claims; image rights","lead_to_contact","Request fragrance-free and sensitive-skin shortlist"
sensible,Peau sensible / réactive,target-sensitive-01,barrière haute tolérance,LOOKFANTASTIC Europe,affiliate,P2,"France coverage via Awin to confirm","Commission/EPC to confirm; no KURLA margin","Merchant stock; no KURLA stock","External checkout only","Feed; INCI; claims; creative rights; affiliate disclosure","Avoid implying KURLA validation","affiliate_candidate","Apply and map high-tolerance brands"
spf,SPF sans trace blanche,peau-ess-003,SPF 50 invisible fluide,Qudo Beauty,wholesale_to_3pl,P1,"EU warehouse announced; France freight to quote","Price, freight and margin unknown","Stock/expiry and case pack to verify","Wholesale then 3PL only after demand","INCI; RP UE; CPSR/PIF/CPNP; GMP; UVA/SPF tests; lot/PAO","Whitecast tests on phototypes IV/V/VI; claims; image rights","blocked_pending_evidence","Request SPF dossier, UVA/SPF reports and phototype IV-VI samples"
