besoin;produit;marque;format;prix_public_eur;source_prix;reference_marche_haute;canal_b2b_moins_cher;conditions_b2b_constatees;note
hydrater;Natural Moisturizing Factors + HA;The Ordinary;30 ml;7.5;theordinary.com (snippet indexé, 14/09/2026);LRP Hyalu B5 31,99 €;"DECIEM/The Ordinary — compte pro à ouvrir ; prix public = plafond";;Crème hydratante la moins chère du lot.
hydrater;Hyaluronic Acid 2% + B5;The Ordinary;30 ml;10.12;amazon.fr (14/09/2026);LRP Hyalu B5 31,99 €;"DECIEM/The Ordinary — compte pro à ouvrir ; prix public = plafond";;Aussi 17,49 € les 60 ml (Redcare FR).
hydrater;Advanced Snail 96 Mucin Power Essence;COSRX;100 ml;16.99;holyskin.fr (14/09/2026);LRP Hyalu B5 31,99 €;Qudo Beauty (RO) — MOQ 300 € total, aucun MOQ/réf, port offert dès 500 €, CPNP+RP UE+INCI déclarés par écritEOLYS Beauté (FR) — page revendeur, prix pro derrière connexion;;Aussi 17,49 € koshicosmetics.fr, 18,90 € bomkosmetik.
hydrater;Hyaluronic Acid 2% + B5;The Ordinary;60 ml;17.49;redcare-pharmacie.fr (14/09/2026);LRP Hyalu B5 31,99 €;"DECIEM/The Ordinary — compte pro à ouvrir ; prix public = plafond";;Grand format.
hydrater;Dive-In Sérum Acide Hyaluronique;Torriden;50 ml;;prix pro masqué — page publique EOLYS (14/09/2026);LRP Hyalu B5 31,99 €;Qudo Beauty (RO) — MOQ 300 € total, aucun MOQ/réf, port offert dès 500 €, CPNP+RP UE+INCI déclarés par écritEOLYS Beauté (FR) — page revendeur, prix pro derrière connexion;;"Prix à obtenir par RFQ ; RP UE à confirmer."
sensible;Natural Moisturizing Factors + HA;The Ordinary;30 ml;7.5;theordinary.com (snippet indexé, 14/09/2026);Bioderma Sensibio 11,99 € (ici réf basse);"DECIEM/The Ordinary — compte pro à ouvrir ; prix public = plafond";;
sensible;Sensibio Huile Micellaire;Bioderma;150 ml;11.99;parapharmacie FR (14/09/2026);;Ankorstore — min 100 €/marque, franco 300 €, paiement 60 j, 0 % commission réassort (janv. 2026);;Référence dermo déjà basse.
sensible;Lait Corps au Karité Bio;Cosmo Naturel;500 ml;9.67;revendeur FR bio (14/09/2026);;Ankorstore — min 100 €/marque, franco 300 €, paiement 60 j, 0 % commission réassort (janv. 2026);;Karité bio FR, prix très bas au litre.
sensible;Advanced Snail 96 Mucin Power Essence;COSRX;100 ml;16.99;holyskin.fr (14/09/2026);;Qudo Beauty (RO) — MOQ 300 € total, aucun MOQ/réf, port offert dès 500 €, CPNP+RP UE+INCI déclarés par écrit;;Réduit rougeurs dès premières utilisations (revendeur).
sensible;Glow Serum Propolis + Niacinamide;Beauty of Joseon;30 ml;16.9;holyskin.fr (14/09/2026);;Qudo Beauty (RO) — MOQ 300 € total, aucun MOQ/réf, port offert dès 500 €, CPNP+RP UE+INCI déclarés par écritEOLYS Beauté (FR) — page revendeur, prix pro derrière connexion;;« idéal peaux sensibles ou réactives » (revendeur).
seche;Natural Moisturizing Factors + HA;The Ordinary;30 ml;7.5;theordinary.com (snippet indexé, 14/09/2026);Eucerin UreaRepair 16,99 €;"DECIEM/The Ordinary — compte pro à ouvrir ; prix public = plafond";;
seche;Lait Corps au Karité Bio;Cosmo Naturel;500 ml;9.67;revendeur FR bio (14/09/2026);Eucerin UreaRepair 16,99 €;Ankorstore — min 100 €/marque, franco 300 €, paiement 60 j, 0 % commission réassort (janv. 2026);;
seche;NMF + PhytoCeramides;The Ordinary;30 ml;11.6;theordinary.com (snippet indexé, 14/09/2026);Eucerin UreaRepair 16,99 €;"DECIEM/The Ordinary — compte pro à ouvrir ; prix public = plafond";;
seche;Lait Corps Nourrissant Argousier;Weleda;200 ml;15.0;revendeur FR (14/09/2026);Eucerin UreaRepair 16,99 €;Ankorstore — min 100 €/marque, franco 300 €, paiement 60 j, 0 % commission réassort (janv. 2026);;
seche;UreaRepair Plus Émollient 10% Urée;Eucerin;400 ml;16.99;parapharmacie FR (14/09/2026);;Ankorstore — min 100 €/marque, franco 300 €, paiement 60 j, 0 % commission réassort (janv. 2026);;Réf dermo urée 10 % — pas moins cher, mais référent du besoin.
grasse;Niacinamide 10% + Zinc 1%;The Ordinary;30 ml;13.5;theordinary.com FR (14/09/2026);LRP 42,10 € (Vit C, réf premium);"DECIEM/The Ordinary — compte pro à ouvrir ; prix public = plafond";;
grasse;Glow Serum Propolis + Niacinamide;Beauty of Joseon;30 ml;11.93;"idealo.fr meilleur prix (14/09/2026) ; 16,90 € holyskin";;Qudo Beauty (RO) — MOQ 300 € total, aucun MOQ/réf, port offert dès 500 €, CPNP+RP UE+INCI déclarés par écritEOLYS Beauté (FR) — page revendeur, prix pro derrière connexion;;Contrôle sébum (revendeur).
grasse;BHA Blackhead Power Liquid;COSRX;100 ml;18.99;revendeur K-beauty FR (14/09/2026);;Qudo Beauty (RO) — MOQ 300 € total, aucun MOQ/réf, port offert dès 500 €, CPNP+RP UE+INCI déclarés par écrit;;
grasse;Super Solutions Sérum Azélaïque 10%;The INKEY List;30 ml;18.4;LookFantastic FR (14/09/2026);;"DECIEM/The Ordinary — compte pro à ouvrir ; prix public = plafond";;
grasse;Chestnut BHA 2% Clear Liquid;Isntree;100 ml;21.95;revendeur K-beauty FR (14/09/2026);;Qudo Beauty (RO) — MOQ 300 € total, aucun MOQ/réf, port offert dès 500 €, CPNP+RP UE+INCI déclarés par écrit;;Marque officielle à confirmer.
imperfections;Acne Pimple Master Patch;COSRX;24 patchs;5.79;revendeur K-beauty FR (14/09/2026);LRP 42,10 € (réf premium);Qudo Beauty (RO) — MOQ 300 € total, aucun MOQ/réf, port offert dès 500 €, CPNP+RP UE+INCI déclarés par écrit;;Le moins cher du registre tous besoins confondus.
imperfections;Niacinamide 10% + Zinc 1%;The Ordinary;30 ml;13.5;theordinary.com FR (14/09/2026);;"DECIEM/The Ordinary — compte pro à ouvrir ; prix public = plafond";;
imperfections;Azelaic Acid Suspension 10%;The Ordinary;30 ml;13.5;theordinary.com FR (14/09/2026);;"DECIEM/The Ordinary — compte pro à ouvrir ; prix public = plafond";;
imperfections;Super Solutions Sérum Azélaïque 10%;The INKEY List;30 ml;18.4;LookFantastic FR (14/09/2026);;"DECIEM/The Ordinary — compte pro à ouvrir ; prix public = plafond";;
imperfections;BHA Blackhead Power Liquid;COSRX;100 ml;18.99;revendeur K-beauty FR (14/09/2026);;Qudo Beauty (RO) — MOQ 300 € total, aucun MOQ/réf, port offert dès 500 €, CPNP+RP UE+INCI déclarés par écrit;;
