n,besoin_principal,besoin_principal_libelle,besoins_secondaires,famille_subcategory,etape_routine_step,nom,actif_cle,format,fourchette_positionnement,canal_annee_1,department,note_conformite,marque_verifiee,fournisseur_verifie,a_contacter
1,hydrater,Hydrater,sensible|barriere,Nettoyage,Gel nettoyant doux,Gel Nettoyant Doux Sans Savon,glycérine,200 ml,8-14 €,affiliation,peau,"Sans savon, pH physiologique. Aucune allégation thérapeutique.",,,oui
2,sensible,Peau sensible / réactive,hydrater|barriere,Nettoyage,Eau micellaire apaisante,Eau Micellaire Apaisante Sans Parfum,eau florale,200 ml,8-14 €,affiliation,peau,Sans parfum. Convient aux peaux réactives.,,,oui
3,seche,Peau sèche / très sèche,hydrater|sensible,Nettoyage,Lait nettoyant confort,Lait Nettoyant Confort Peaux Sèches,beurre de karité,200 ml,9-15 €,affiliation,peau,"Texture lait, rinçage à l'eau ou au coton.",,,oui
4,imperfections,Imperfections / boutons,grasse|hydrater,Nettoyage,Huile nettoyante démaquillante,Huile Nettoyante Démaquillante,huile de jojoba,150 ml,12-19 €,affiliation,peau,"Se rince à l'eau, ne laisse pas de film occlusif.",,,oui
5,seche,Peau sèche / très sèche,hydrater|barriere,Nettoyage,Baume nettoyant fondant,Baume Nettoyant Fondant,huile d'amande douce,100 ml,13-20 €,affiliation,peau,Première étape d'un double nettoyage.,,,oui
6,grasse,Peau grasse / brillance,imperfections|eclat,Nettoyage,Mousse nettoyante purifiante,Mousse Nettoyante Purifiante,niacinamide,150 ml,9-15 €,affiliation,peau,Nettoie sans décaper. Aucune allégation anti-acné.,,,oui
7,imperfections,Imperfections / boutons,grasse|cicatrices,Nettoyage,Gel nettoyant purifiant,Gel Nettoyant Purifiant Sans Sulfates,zinc PCA,200 ml,9-15 €,affiliation,peau,Sans sulfates agressifs. Pas d'allégation de traitement de l'acné.,,,oui
8,eclat,Éclat & teint terne,par_ingredient|taches,Nettoyage,Poudre enzymatique exfoliante,Poudre Enzymatique Exfoliante Douce,enzymes de fruits,60 g,14-22 €,affiliation,peau,"Exfoliation enzymatique, pas mécanique. Pas de gommage agressif.",,,oui
9,barriere,Barrière cutanée,seche|sensible,Nettoyage,Crème nettoyante hydratante,Crème Nettoyante Hydratante,céramides,200 ml,10-16 €,affiliation,peau,Préserve le film hydrolipidique.,,,oui
10,grasse,Peau grasse / brillance,imperfections|hydrater,Nettoyage,Gel nettoyant visage homme,Gel Nettoyant Visage Homme,menthol doux,150 ml,9-15 €,affiliation,hommes,Département hommes. Aucune allégation sur le rasage médical.,,,oui
11,sensible,Peau sensible / réactive,corps|hydrater,Nettoyage,Lingettes démaquillantes réutilisables,Lingettes Démaquillantes Réutilisables (lot de 8),microfibre,8 pièces,8-14 €,dropship,peau,"Matériel, pas cosmétique. Aucun CPNP requis.",,,oui
12,hydrater,Hydrater,sensible,Nettoyage,Bandeau et éponges nettoyantes,Bandeau Cheveux + Éponges Konjac (set),konjac,set,7-12 €,dropship,peau,"Matériel, pas cosmétique. Aucun CPNP requis.",,,oui
